Date,Open,High,Low,Close,Volume,Adj Close
2018-03-16,3280,3300,3265,3275,122000,3275
2018-03-15,3310,3315,3240,3270,172300,3270
2018-03-14,3280,3325,3275,3315,146600,3315
2018-03-13,3245,3285,3235,3270,112400,3270
2018-03-12,3275,3280,3230,3250,141800,3250
2018-03-09,3290,3335,3255,3260,317400,3260
2018-03-08,3275,3295,3255,3275,201200,3275
2018-03-07,3290,3330,3275,3300,216400,3300
2018-03-06,3230,3305,3230,3285,294300,3285
2018-03-05,3165,3210,3165,3200,174300,3200
2018-03-02,3165,3200,3160,3175,215300,3175
2018-03-01,3175,3215,3160,3180,217500,3180
2018-02-28,3190,3210,3155,3160,276300,3160
2018-02-27,3245,3245,3190,3195,151300,3195
2018-02-26,3255,3260,3220,3220,131300,3220
2018-02-23,3225,3240,3205,3215,213500,3215
2018-02-22,3255,3255,3220,3225,196600,3225
2018-02-21,3300,3330,3280,3310,172600,3310
2018-02-20,3320,3355,3310,3345,137600,3345
2018-02-19,3275,3340,3270,3330,137100,3330
2018-02-16,3200,3275,3185,3250,172000,3250
2018-02-15,3180,3225,3160,3165,214700,3165
2018-02-14,3210,3230,3150,3175,300700,3175
2018-02-13,3300,3300,3205,3210,250100,3210
2018-02-09,3270,3295,3210,3275,466500,3275
2018-02-08,3330,3380,3320,3360,311100,3360
2018-02-07,3280,3385,3270,3325,552300,3325
2018-02-06,3100,3285,3095,3255,858400,3255
2018-02-05,3185,3220,3135,3135,258100,3135
2018-02-02,3230,3240,3200,3210,175700,3210
2018-02-01,3225,3255,3220,3245,131900,3245
2018-01-31,3240,3270,3210,3215,206900,3215
2018-01-30,3255,3265,3215,3240,169400,3240
2018-01-29,3285,3300,3250,3255,145300,3255
2018-01-26,3280,3305,3265,3285,215500,3285
2018-01-25,3220,3290,3210,3280,262500,3280
2018-01-24,3245,3255,3230,3245,166500,3245
2018-01-23,3240,3255,3225,3240,267700,3240
2018-01-22,3220,3285,3200,3255,378800,3255
2018-01-19,3170,3220,3160,3190,157300,3190
2018-01-18,3235,3245,3175,3180,317600,3180
2018-01-17,3250,3260,3215,3235,216500,3235
2018-01-16,3250,3265,3240,3260,167600,3260
2018-01-15,3255,3280,3220,3260,149500,3260
2018-01-12,3305,3310,3260,3270,272600,3270
2018-01-11,3370,3375,3320,3325,259100,3325
2018-01-10,3400,3430,3390,3390,219500,3390
2018-01-09,3385,3410,3370,3390,256700,3390
2018-01-05,3430,3440,3405,3415,187700,3415
2018-01-04,3430,3435,3385,3415,215000,3415
2017-12-29,3370,3405,3360,3400,135500,3400
2017-12-28,3420,3420,3365,3370,80900,3370
2017-12-27,3425,3425,3400,3415,76000,3415
2017-12-26,3405,3440,3390,3410,114400,3410
2017-12-25,3390,3415,3385,3405,62900,3405
2017-12-22,3405,3420,3385,3390,86700,3390
2017-12-21,3385,3420,3355,3400,167700,3400
2017-12-20,3435,3445,3400,3415,137000,3415
2017-12-19,3440,3450,3395,3435,143800,3435
2017-12-18,3395,3460,3375,3445,252200,3445
2017-12-15,3360,3385,3335,3350,501300,3350
2017-12-14,3350,3390,3325,3360,210700,3360
2017-12-13,3370,3410,3350,3350,149200,3350
2017-12-12,3430,3465,3355,3380,290700,3380
2017-12-11,3400,3440,3385,3425,264500,3425
2017-12-08,3375,3435,3345,3420,546200,3420
2017-12-07,3285,3345,3280,3345,399900,3345
2017-12-06,3270,3320,3235,3250,377900,3250
2017-12-05,3260,3265,3230,3260,288800,3260
2017-12-04,3230,3270,3225,3225,312000,3225
2017-12-01,3235,3245,3185,3195,261100,3195
2017-11-30,3200,3235,3180,3230,344800,3230
2017-11-29,3135,3180,3135,3160,182300,3160
2017-11-28,3090,3135,3090,3115,157000,3115
2017-11-27,3115,3125,3080,3095,120700,3095
2017-11-24,3110,3115,3075,3095,171200,3095
2017-11-22,3160,3165,3100,3105,196300,3105
2017-11-21,3145,3170,3135,3140,207900,3140
2017-11-20,3130,3165,3130,3130,204400,3130
2017-11-17,3135,3170,3120,3135,282200,3135
2017-11-16,3085,3150,3075,3130,268900,3130
2017-11-15,3110,3130,3070,3085,371200,3085
2017-11-14,3150,3155,3100,3100,297400,3100
2017-11-13,3170,3180,3130,3140,255900,3140
2017-11-10,3175,3190,3160,3170,316100,3170
2017-11-09,3210,3230,3170,3190,502900,3190
2017-11-08,3215,3215,3175,3200,513100,3200
2017-11-07,3155,3245,3100,3220,1218200,3220
2017-11-06,3535,3545,3475,3475,164700,3475
2017-11-02,3530,3540,3485,3490,229700,3490
2017-11-01,3500,3560,3490,3520,279200,3520
2017-10-31,3415,3495,3390,3495,388400,3495
2017-10-30,3410,3450,3405,3415,199900,3415
2017-10-27,3430,3455,3405,3425,247500,3425
2017-10-26,3395,3415,3380,3385,142400,3385
2017-10-25,3420,3425,3385,3395,171700,3395
2017-10-24,3410,3450,3355,3425,386000,3425
2017-10-23,3420,3430,3370,3410,240200,3410
2017-10-20,3355,3395,3350,3395,208500,3395
2017-10-19,3425,3435,3350,3365,319100,3365
2017-10-18,3455,3455,3390,3410,457100,3410
2017-10-17,3520,3520,3465,3490,224200,3490
