Date,Open,High,Low,Close,Volume,Adj Close
2018-03-15,3280,3280,3280,3280,30,3280
2018-03-12,3235,3235,3235,3235,40,3235
2018-03-07,3035,3290,3035,3290,70,3290
2018-03-06,3080,3080,2890,3035,150,3035
2018-03-05,3045,3080,3005,3080,70,3080
2018-03-02,3120,3120,3120,3120,10,3120
2018-02-28,3145,3145,3140,3140,110,3140
2018-02-27,3410,3410,3410,3410,30,3410
2018-02-22,3200,3200,3200,3200,20,3200
2018-02-15,3200,3200,3200,3200,10,3200
2018-02-14,3130,3195,3130,3195,20,3195
2018-02-13,3130,3130,3130,3130,30,3130
2018-02-09,3050,3130,3050,3130,100,3130
2018-02-08,3210,3210,3055,3165,260,3165
2018-02-07,3290,3300,3220,3235,210,3235
2018-02-06,3075,3500,3075,3500,340,3500
2018-01-29,3290,3500,3290,3500,150,3500
2018-01-26,3420,3430,3420,3430,20,3430
2018-01-24,3445,3445,3390,3390,100,3390
2018-01-22,3410,3410,3410,3410,250,3410
2018-01-19,3410,3410,3410,3410,100,3410
2018-01-18,3430,3430,3430,3430,10,3430
2018-01-17,3430,3430,3430,3430,10,3430
2018-01-16,3195,3430,3195,3430,440,3430
2018-01-15,3495,3495,3405,3405,110,3405
2018-01-11,3470,3470,3400,3400,70,3400
2018-01-10,3450,3560,3450,3465,100,3465
2018-01-09,3435,3600,3435,3590,400,3590
2018-01-05,3600,3600,3435,3435,220,3435
2018-01-04,3520,3560,3420,3430,280,3430
2017-12-29,3520,3520,3520,3520,50,3520
2017-12-27,3335,3335,3335,3335,10,3335
2017-12-26,3315,3335,3315,3335,80,3335
2017-12-25,3305,3305,3305,3305,20,3305
2017-12-22,3360,3360,3360,3360,40,3360
2017-12-20,3360,3360,3360,3360,10,3360
2017-12-18,3450,3450,3430,3430,70,3430
2017-12-14,3395,3395,3395,3395,10,3395
2017-12-13,3400,3400,3400,3400,20,3400
2017-12-08,3330,3330,3330,3330,10,3330
2017-12-07,3450,3450,3350,3350,190,3350
2017-12-06,3380,3380,3380,3380,10,3380
2017-12-05,3380,3380,3350,3350,70,3350
2017-12-04,3385,3385,3385,3385,300,3385
2017-12-01,3565,3565,3385,3385,70,3385
2017-11-30,3355,3355,3355,3355,30,3355
2017-11-29,3355,3405,3355,3405,100,3405
2017-11-28,3390,3390,3390,3390,330,3390
2017-11-24,3460,3460,3460,3460,20,3460
