Date,Open,High,Low,Close,Volume,Adj Close
2018-03-16,33350,33700,33200,33450,51,33450
2018-03-15,33250,33500,33200,33350,71,33350
2018-03-14,33450,33450,33250,33350,59,33350
2018-03-13,33700,33700,33350,33600,48,33600
2018-03-12,33800,33850,33600,33850,275,33850
2018-03-09,33250,33700,33200,33700,93,33700
2018-03-08,33200,33500,33050,33050,145,33050
2018-03-07,33100,33500,33000,33250,124,33250
2018-03-06,33450,33550,33350,33350,160,33350
2018-03-05,33150,33650,33150,33200,167,33200
2018-03-02,34350,34650,34200,34200,288,34200
2018-03-01,35100,35100,34700,34800,284,34800
2018-02-28,35850,35850,35150,35150,173,35150
2018-02-27,35750,35800,35250,35550,328,35550
2018-02-26,35600,35750,35100,35200,365,35200
2018-02-23,35250,35700,35050,35100,241,35100
2018-02-22,35500,35700,35300,35700,196,35700
2018-02-21,35200,35600,35150,35600,155,35600
2018-02-20,35300,35500,35200,35200,234,35200
2018-02-19,35250,35700,35200,35300,147,35300
2018-02-16,35150,35500,35000,35100,153,35100
2018-02-15,34400,35000,33500,34950,408,34950
2018-02-14,33750,35100,32950,34400,701,34400
2018-02-13,33800,34200,33500,33500,521,33500
2018-02-09,34750,34750,33700,34100,860,34100
2018-02-08,35600,36200,35450,35450,356,35450
2018-02-07,36100,37200,36050,36050,380,36050
2018-02-06,35800,36600,35250,35950,1149,35950
2018-02-05,36150,36950,35800,36650,764,36650
2018-02-02,36900,37300,36750,37050,312,37050
2018-02-01,36500,37600,36500,36800,276,36800
2018-01-31,36800,37150,35650,36500,1317,36500
2018-01-30,38700,38700,37050,37500,1635,37500
2018-01-29,39700,39800,38950,39150,748,39150
2018-01-26,39700,39900,39650,39750,478,39750
2018-01-25,39900,39900,39500,39550,881,39550
2018-01-24,39850,40000,39700,39900,1126,39900
2018-01-23,39300,39900,39300,39850,753,39850
2018-01-22,38900,39350,38750,39250,791,39250
2018-01-19,37950,39100,37950,38700,1226,38700
2018-01-18,37400,38000,37300,38000,783,38000
2018-01-17,37250,37250,36900,37200,218,37200
2018-01-16,36800,37000,36800,37000,287,37000
2018-01-15,35950,37150,35900,36950,1125,36950
2018-01-12,35750,36000,35700,35800,216,35800
2018-01-11,35800,35900,35100,35500,370,35500
2018-01-10,35800,35850,35700,35700,253,35700
2018-01-09,35650,35850,35250,35750,561,35750
2018-01-05,34400,36400,34300,35300,1948,35300
2018-01-04,34300,34350,34200,34250,294,34250
2017-12-29,33800,33900,33650,33700,407,33700
2017-12-28,34000,34000,33300,33500,653,33500
2017-12-27,33300,33400,32750,33350,432,33350
2017-12-26,32900,33650,32900,33650,581,33650
2017-12-25,32700,33550,32700,33200,981,33200
2017-12-22,33150,33200,32850,32850,404,32850
2017-12-21,33000,33200,32950,33050,406,33050
2017-12-20,32900,33150,32900,32950,452,32950
2017-12-19,32850,32950,32700,32900,190,32900
2017-12-18,33400,33400,32900,32900,398,32900
2017-12-15,33350,33400,33000,33400,223,33400
2017-12-14,32950,33250,32950,33250,466,33250
